clave,nombre,grupo,num_caracteres,texto
100_montaditos,100 Montaditos,A,3112,"Móntatelo. Donde siempre. (@100Montaditos)
ABRE TU FRANQUICIA
CARTA
ENCUÉNTRANOS
DELIVERY
Euromanía
¡Ver promo!
Quijote y Sancho
¡Ver más!
Montaditos
Monty
Ruedas
Ensaladas
Aperitivos
Raciones
Bebidas
CERVE
Prueba las nuevas
PALOMITAS VEGANAS
Proteina 100% vegetal
Sin GMO
0% Colesterol
Cobertura
crujiente y dorada
Atractiva cobertura
a base de harina de
maíz y trigo

Nuestra historia | 100 Montaditos
ABRE TU FRANQUICIA
CARTA
ENCUÉNTRANOS
DELIVERY
Nuestra historia
La historia de 100 Montaditos comenzó en el
año 2000
en una pequeña playa de
Islantilla
, Huelva, con un concepto gastronómico revolucionario, sencillo, de operativa fácil, con
ingredientes de alta calidad y con una gran variedad de producto
, además de una divertida manera de hacer los pedidos. Y esta combinación ha resultado ser un
completo éxito
Año 2000
Islantilla, Huelva
100 Montaditos
El concepto
Una forma divertida y variada de disfrutar de la comida. Un lugar para compartir experiencias y dejarse llevar por el momento.
100 Montaditos
El producto
Hablar de 100 Montaditos es hablar de un producto único en el que la calidad y la originalidad son marca de la casa. Una de las claves del éxito de la carta es el pan, un pan único, de receta patentada y que además se hornea en el momento en el que el cliente hace el pedido. Un tipo de pan tradicional, que siempre se sirve calentito y crujiente, elaborado con nuestra fórmula exclusiva a un precio redondo.
100 Montaditos
La experiencia
Desde que suena tu nombre por la megafonía, todo son sorpresas y bocados de felicidad. El gran número de opciones hace que el ritual de elegir tu pedido se haya convertido en un clásico entre los consumidores de España y de todo el mundo.
100 Montaditos
Un negocio rentable
100 Montaditos ha conquistado el mercado y se ha posicionado tanto en la mente de los consumidores como de los inversores, ya que se ha convertido en la primera opción para emprender en franquicia. En definitiva, nuestra marca sorprende al público con su forma de entender la gastronomía española en un entorno de diversión.
Abre tu propio 100 Montaditos
La mejor franquicia española de restauración organizada
Más de 450 unidades de restauración en 13 países.
Más del 35% de nuestros franquiciados tiene 2 o más franquicias.
Negociamos la mejor localización.
Formación y respaldo ofrecido por Grupo Restalia.
0.217542 1.08945 0.483504 1.35182L5.92677 6.72158C6.08201 6.87473 6.08201 7.12527 5.92677 7.27842L0.449437 12.6818C0.202214 12.9257 0.202214 13.3246 0.449437 13.5685ZM5.46681 13.5685C5.70932 13.8078 6.09905 13.8078 6.34157 13.5685L12.669 7.32654C12.8511 7.14692 12.8511 6.85308 12.669 6.67346L6.34157 0.431476C6.09905 0.192235 5.70932 0.192235 5.46681 0.431476C5.21958 0.67536 5.21958 1.07433 5.46681 1.31821L10.9441 6.72158C11.0994 6.87473 11.0994 7.12527 10.9441 7.27842L5.4668 12.6818C5.21958 12.9257 5.21958 13.3246 5.46681 13.5685Z"" fill=""#D9534A"">
Descargar dossier
Pedir más información
CERVE
Prueba las nuevas
PALOMITAS VEGANAS
Proteina 100% vegetal
Sin GMO
0% Colesterol
Cobertura
crujiente y dorada
Atractiva cobertura
a base de harina de
maíz y trigo"
popeyes,Popeyes,A,25,Popeyes Louisiana Kitchen
lizarran,Lizarran,A,0,
ginos,Ginos,A,2887,"Auténtica comida italiana artesanal | Ginos
Reserva una mesa
SPRITZ &
COCKTAIL
Con corazón italiano
Descúbrelos
EL FÚTBOL EN CASA CON DESCUENTOS
Por ser socio de Club·By, disfruta de promociones exclusivas en tu pedido a domicilio.
Registrarme
MENÙ DEL GIORNO
Aquí la semana sabe mejor.
Descúbrelo
Previous
Next
La cocina Italiana  con nombre propio
En Ginos podrás disfrutar de una cocina italiana llena de sabor y personalidad, donde encontrarás tanto recetas tradicionales de auténtica cocina italiana como innovadoras recetas de vanguardia con nombre propio.
Pastas
Pizzas
Cócteles
TARDEO
ITALIANO
Pruébalas
MENÚ
NOCHE
Pruébalo
CARTA GINOS
SPAGHETTI ALLA CARBONARA DE AQUÍ
Con un huevo a baja temperatura, panceta, nata, Parmigiano Reggiano DOP y pimienta negra.
Ver más
SALMONE E MELANZANE
Salmón ahumado, gorgonzola, berenjenas crujientes, tomates cherry, lechugas y almendras. Aliñada con vinagreta de miel, eneldo y bálsámico.
Ver más
GNOCCHI AL PARMIGIANO REGGIANO DOP
Con salsa de queso Parmigiano Reggiano DOP, nueces, pimienta negra y virutas de vinagre balsámico.
Ver más
PALETA IBÉRICA E MOZZARELLA
Paleta ibérica, Mozzarella di búfala, melocotón caramelizado, tomate, rúcula y pistachos. Aliñada con balsámico de frambuesa.
Ver más
TAGLIERE DI GINOS
Tabla de embutidos y quesos: Mortadela trufada con pistachos, coppa (lomo italiano), finocchiona (salchichón italiano), paleta ibérica, gorgonzola, Parmigiano Reggiano DOP, queso manchego DOP, tomate seco, rúcula, aceitunas, pan crujiente y grissini.
Ver más
GIRASOLI DI ARAGOSTA ALLA PIRATA
Pasta rellena de langosta y gambas con salsa pirata (suave crema picante con tomate), pimientos lágrima dolce rosso y pan carasau.
Ver más
MILANESE ALLA BOLOGNESE
Milanesa de pollo con salsa boloñesa y mozzarella. Acompañada de patatas gajo, tomates cherry, rúcula y Parmigiano Reggiano DOP.
Ver más
AGUA SIN GAS
Botella de 50cl.
Ver más
PROSCIUTTO E FUNGHI
Base de tomate, mozzarella, jamón york, champiñones y orégano.
Ver más
CALZONE NAPOLETANO
De carne picada de vacuno y jamón york, con borde relleno de queso provolone. Cubierto de tomate, jamón curado y Parmigiano Reggiano DOP.
Ver más
IL PECATO ITALIANO
Bombón crocante de mousse de chocolate con leche y almendras, acompañado de Chips Ahoy!®.
Ver más
RIGATONI AL FORNO SIN GLUTEN
Con chorizo y champiñones, acompañados con salsa de tomate y bechamel.
Ver más
Ver toda la carta
PROMOCIONES
Ofertas pensadas para cada ocasión: en nuestros restaurantes Ginos, para disfrutar en casa o en pedidos a recoger.
Hazte del Club y descubre todas las promociones que tenemos para ti.
Ver promociones
Descuento bienvenida
Exclusivo en pedidos a domicilio por ser socio
2x1 estudiantes
¡Disfrutar el doble de tus platos favoritos!
Previous
Next
PROMOCIONES
Descuento bienvenida
Exclusivo en pedidos a domicilio por ser socio
2x1 estudiantes
De domingo a jueves a partir de las 18:00h"
dominos,Domino's Pizza,A,0,
kfc,KFC,A,31,KFC España – Sabe a #PolloPollo
rodilla,Rodilla,A,7,Rodilla
taco_bell,Taco Bell,A,9,Taco Bell
vips,VIPS,A,3528,"VIPS: sándwiches, hamburguesas, tortitas y más | VIPS
Reserva una mesa
VIVE EL FÚTBOL DESDE CASA
Regístrate o inicia sesión para disfrutar de promociones exclusivas en delivery y take-away
Regístrate
ENSALADAS DE VERANO
Pensadas para los días que piden algo fresco, rico y lleno de sabor.
Ir a carta
Descúbrelas
Nueva experiencia infantil
Conoce nuestra nueva carta infantil y llévate un juego para disfrutar en familia
Descúbrelo
Nuevo Menú del día
Disfruta de dos platos, una bebida y un postre de lunes a viernes a partir de las 12:30
Descúbrelo
NUEVOS SÁNDWICHES GOURMET
Hemos llevado lo que mejor se nos da hacer, los sándwiches, un paso más allá.
Pide ya
Previous
Next
Lo de Vips. No es Normal
¿Se acerca la hora de comer y no sabes qué elegir? Tenemos para ti, desayunos, comidas, meriendas o cenas ideal para tu paladar. A donde quieras ir, ve con VIPS.
Delivery
Comidas
Desayunos
CATERING
VIPS
Más info
NORMAL,
LA REVISTA
Descúbrela
CARTA VIPS
Menú del Día Clásico
Primero, segundo, postre o café y bebida. Menú sujeto a disponibilidad. Consulta con tu camarero.
Ver más
VIPS Club Gourmet
Tres pisos de pan blanco con arándanos, pollo asado, pechuga de pavo, bacon de Angus, queso brie, tomate seco, mezcla de lechugas y cebolla roja asada con salsa mayo-trufada.
Ver más
VIPS Club
Pan blanco o pan de semillas, tres pisos de pollo a la plancha, bacon, jamón York, quesos, mayonesa, tomate y lechuga.
Ver más
Cubano
Pulled pork, queso emmental y queso fundido, jamón cocido, mostaza, mayonesa y pepinillo, en pan de maíz con semillas de calabaza y girasol.
Ver más
Smash Ibérica Carbonara
Dos carnes smash de cerdo ibérico y vacuno con salsa carbonara tradicional, torreznos de Soria crujientes, queso parmesano rallado, bacon crujiente y salsa baconesa en pan brioche.
Ver más
Pollo Oriental
Contramuslo de pollo marinado con salsa teriyaki, brócoli asado, salteado de col lombarda, cebolla y pimiento rojo, zanahoria, anacardos, ajetes y sésamo sobre arroz de sushi con portobello y salsa yakiniku.
Ver más
VIPS Burger
Carne de vacuno o pollo crujiente, queso fundido, lechuga, bacon crujiente, salsa BBQ ahumada, cebolla roja a la plancha, pepinillo y salsa baconesa en pan brioche.
Ver más
CachoPower ® de pollo
Cachopo de pollo relleno de bacon crujiente, queso y piparras en pan de focaccia, con huevo frito, lechuga, cebolla roja y salsa mayo-mostaza.
Ver más
Tartar de atún con mango
Tartar de atún aliñado con cilantro y lima, mostaza Dijon y salsa yakiniku con relish de aguacate, mango y sweet chilli, rúcula, mayo- sriracha y sésamo negro y ajonjolí en pan de centeno y semillas.
Ver más
Steak tartar de buey
Steak tartar de buey con berenjena asada, salsa holandesa y rúcula, con sésamo negro y ajonjolí, mayonesa cítrica y perlas chipotle en pan de pimiento rojo.
Ver más
Ensalada Los Ángeles
Aguacate, mango, fresas, queso de cabra, feta, tomate cherry, cebolla roja y nueces. Con vinagreta, quinoa y lechugas.
Ver más
Smash Bacon&Cheese
Dos carnes de vacuno al estilo smash, bacon crujiente, queso cheddar fundido, mayonesa, mostaza, kétchup especiado y pepinillos agridulces en pan brioche.
Ver más
Ver toda la carta
promo
Vips para ti
¡Descubre las mejores promociones pensadas para ti!
Ver promociones
2x1 estudiantes
Presenta tu carnet y disfruta de nuestro 2x1
2x1 de Bienvenida
Hazte socio y disfruta el doble en tu primer pedido.
Disfruta del 10%
Previous
Next
PromoVips
Disfruta
de un 10%de dto de bienvenida
2x1 de Bienvenida
Hazte socio y disfruta el doble en tu primer pedido.
Ver promociones"
the_good_burger,The Good Burger,A,1257,"The Good Burger - Grupo Restalia
Carta
Promos
Delivery
Abre tu
franquicia
Carta
Promos
Delivery
Abre tu
franquicia
GOOD
BURGER
buena
hamburguesa.
Buen rollo, buenas personas y buenas burgers.
buena
hamburguesa.
Buen rollo, buenas personas y buenas burgers.
cosas
que no te
deberÃ­as perder.
Cheese Bites
Nuevos Menus
Limited Edition
VER MÃ�S ğŸ”¥
calidad
es para todos.
Para todos los amantes de las
buenas hamburguesas
, para aquellos que no se conforman con lo comÃºn,
para los que
destacan
en un mundo lleno de imitaciones, para los que creen en lo autÃ©ntico y se atreven,
a arriesgar.
The good burger es para los originales.
Para los que valoran lo
verdadero
, lo bien hecho.
Para los de siempre, lo de siempre:
The good burger, la buena hamburguesa.
Your browser does not support the video tag.
Your browser does not support the video tag.
Your browser does not support the video tag.
emasiado
erfectas,
Para
er corre
Your browser does not support the video tag.
ay cosas por las que vale
manchar
limited edition
The Criolla
limited edition
The Teriyaki
i esperas, igu
Te lo pierdes
Your browser does not support the video tag.
âœŒï¸� Consigue descuentos âœŒï¸�
SuscrÃ­bete a nuestra newsletter  y consigue descuentos, promociones y regalos exlcusivos"
